,1,2,cluster_lab
177342,26.393276,-7.792608,2
395756,-0.372057,-4.0846753,2
248339,20.380886,11.489937,2
771354,-7.322791,-42.11933,1
151425,1.972954,32.79763,0
161832,-10.920972,-22.489006,3
962058,29.457884,-1.4518187,2
211821,-29.049292,-8.441557,3
144731,22.114359,8.443302,2
113922,0.25038785,-16.831474,1
966975,16.242773,10.631765,2
180432,-3.8339486,40.834236,0
163836,-21.705112,26.2911,0
167440,13.444452,-45.079514,1
211316,-1.2937288,-3.2500594,2
210415,-0.1581091,47.464684,0
126628,30.973251,13.953592,2
153025,-31.517986,-7.993254,3
129634,13.234862,-39.168453,1
598568,24.867525,-27.49364,1
119833,-6.6279316,-48.17303,1
120515,8.980851,11.498609,2
146836,-33.161297,-11.862757,3
109123,-1.4473298,-46.038292,1
233326,2.3266282,48.811188,0
154229,6.725902,-3.7929132,2
123723,7.7309756,6.8802986,2
872158,18.754763,-39.49427,1
558960,-26.996288,35.63697,0
131621,12.005127,-17.559753,1
190132,-29.345875,15.070527,3
201818,-12.286027,-26.972902,1
137633,12.656789,11.753671,2
873968,-24.315615,21.331394,3
141422,-3.0012834,46.113464,0
210011,-31.484,-19.91617,3
182032,-1.4586427,-33.615692,1
206323,26.836926,-3.19356,2
576255,-0.47264907,-18.62564,1
107018,-11.439859,38.522617,0
221218,-27.65871,20.91048,3
994273,-13.305301,-12.002852,3
159340,22.037746,-27.79675,1
784565,26.065613,18.030708,2
620434,5.0970287,-36.31098,1
121921,-24.288614,-12.188381,3
877269,-16.436947,11.852735,3
882161,-1.9562929,-34.59264,1
118225,-27.605978,9.946582,3
213522,-22.064861,-4.8309574,3
812746,9.548778,-41.722023,1
164939,-36.228275,-12.556569,3
479762,18.321081,-34.78647,1
127630,-33.21309,9.7055235,3
196952,-12.304473,-29.672178,1
360030,-9.860883,24.946083,0
339847,-28.18682,17.322166,3
120010,-3.4819725,3.0141916,2
102008,22.476765,-5.741199,2
150625,-5.522379,37.233547,0
102614,-16.275051,-13.124999,3
650746,13.925868,40.527267,0
380036,32.040394,-8.825425,2
123824,14.866577,42.434757,0
123420,-1.8697375,-43.263603,1
951457,-38.537663,-12.758302,3
414229,-33.967262,-6.2731166,3
499566,9.567053,-21.310846,1
200210,-5.4032044,-34.31837,1
113821,-37.613903,-13.302669,3
529953,-0.07195022,-8.831173,2
179245,-38.260372,-0.15163273,3
767464,-17.35948,13.602292,3
729254,-24.847525,17.55438,3
880157,-26.793375,5.1264253,3
251833,-21.937038,-9.946367,3
599671,28.468485,1.3269348,2
872562,-2.9211416,25.63407,0
154431,-1.4059923,24.59605,0
103111,1.1562107,-15.840929,1
751550,-36.17684,7.528135,3
168240,-26.20265,33.996315,0
194847,-8.595245,-39.568684,1
197449,10.885836,-46.445534,1
286650,23.155693,18.107761,2
644044,-24.458677,-4.275032,3
779370,-5.5206695,8.767366,2
117122,-28.031828,14.7704315,3
156334,27.253496,-26.374975,1
127731,10.737882,26.775826,2
987074,-5.3131857,-1.5718614,3
115017,-10.553862,-28.429369,1
891667,-40.03956,-9.142278,3
206222,-9.973412,-6.130984,3
146735,21.940403,-33.879063,1
147636,8.69614,-22.89241,1
198047,22.66315,20.876947,2
169949,-23.242138,-4.1319475,3
189349,16.890877,-38.499115,1
186444,-17.976503,28.804976,0
188145,-21.089357,30.796638,0
770352,-29.649702,-7.5827136,3
185038,3.1892223,42.79418,0
200008,14.153619,-23.161482,1
385046,18.43498,16.334503,2
993675,-10.758882,-43.061726,1
189652,33.9617,12.206581,2
102816,-14.987109,10.682224,3
700634,15.961479,-12.875062,2
318637,31.315975,15.998323,2
217429,35.514507,0.25144356,2
130114,-2.9216478,-0.10815149,2
140925,18.499311,-24.70014,1
206727,-2.4282565,-47.193592,1
118831,-3.6781955,29.204771,0
121820,7.2194257,-7.293781,2
199958,6.5797772,-38.245735,1
191336,13.75447,8.431591,2
725751,-11.168308,-49.606827,1
149539,5.067476,44.70325,0
173233,0.43908244,43.818195,0
878776,-12.483004,24.763788,0
107321,19.569853,-22.552822,1
705341,-26.32987,19.78657,3
513130,-12.611071,-22.610401,3
656253,2.6645231,-5.4001827,2
144933,11.445224,12.796724,2
887373,8.901651,-35.741066,1
707749,32.82828,13.491683,2
804646,34.859135,-4.0460954,2
541943,-11.399408,4.216196,3
959574,16.22046,4.20284,2
623844,-9.246274,-13.605469,3
212217,2.024846,-16.61031,1
356948,-22.107157,34.189808,0
103515,-33.004364,-1.4798237,3
201515,9.374981,39.406284,0
761957,-9.875283,-49.500114,1
387959,-22.325718,-2.3538938,3
100610,-7.724331,2.319267,3
349244,9.535273,-10.556352,2
160931,-2.1738548,-41.514004,1
122317,-10.0013,-2.475819,3
550439,-7.7120147,-33.747314,1
164030,28.010183,-25.538792,1
614439,-39.42868,-9.474746,3
587664,19.893404,-37.85111,1
500222,13.411329,32.44406,0
101107,-10.729447,-40.823795,1
209228,24.309025,22.182413,2
149337,20.898687,17.10342,2
152427,9.174222,-9.17541,2
239944,7.307758,-20.87074,1
208428,12.425881,9.562613,2
633847,0.41115874,-26.249723,1
134627,-17.093615,10.504303,3
